video_id,title,description,channel_title,channel_id,channel_handle,published_at,thumbnail_url,view_count,like_count,months_since_publish,estimated_views_per_month,tracked_views_growth_per_month
272fLnXWaZQ,Strategic Empathy - Rehumanising Project Governance | Project Management SG,"Modern projects aren’t failing because of a lack of data, talent, or tools. They’re failing because Project Leaders are being asked to navigate environments defined by paradox: speed and rigour, innovation and control, autonomy and alignment, ambition and fatigue.
Traditional governance models, built for linear problems, remain largely retrospective - calibrated to interpret what has already happened rather than anticipate what is unfolding.
This session introduces Strategic Empathy - not a framework, but a paradigm for understanding and navigating complexity in a time of competing truths.
It offers a prospective way of seeing: enabling Project Leaders to detect drift early, interpret weak signals before they crystallise into issues, and make decisions that hold coherence across multiple time horizons.
Drawing on real-world experience across large-scale transformations, engineering programmes, and organisational change, this talk explores:
• Why complexity cannot be simplified without consequence.
• How paradox tolerance becomes a core capability for Project Leaders.
• Why governance systems anchored in retrospection create systemic blind spots.
• How the Strategic Empathy paradigm restores clarity, alignment, and meaningful progress by shifting leaders toward a prospective mode of judgment.
Participants will leave with a deeper understanding of how to lead projects where linear logic fails - and where the capacity to see ahead of the data becomes the ultimate differentiator.",BCS Member Groups,UCVkozrz9LHYPgwIsbw_-3gQ,@BCSMemberGroups,2026-03-12 00:00:00+00:00,https://i.ytimg.com/vi/272fLnXWaZQ/maxresdefault.jpg,195,2,2.431211498973306,80.21,0.0
V_78ciCxgAQ,Deepfake Forensics: then Cybercrime Forensics SG AGM | Cybercrime Forensics SG,"Synopsis
The proliferation of deepfakes and other AI-generated media presents unprecedented challenges for digital forensics and law enforcement. While detection technologies are advancing rapidly, they remain fragmented, inconsistent, and vulnerable to evasion by increasingly sophisticated generative models. This talk examines the technical limitations of current detection tools and techniques, highlighting issues of reliability, scalability, and evidential admissibility. Beyond technology, policing and Digital Forensics Units (DFUs) face operational hurdles, including the absence of standardised policies, procedures, and training frameworks to guide the handling of synthetic media evidence. We explore the implications for investigative workflows, evidential integrity, and public trust, and propose pathways toward robust forensic standards and cross-sector collaboration. Attendees will gain insight into the urgent need for integrated technical, procedural, and policy solutions to address the growing threat of synthetic media in criminal investigations.
Speaker biography
Dr Áine MacDermott is a Senior Lecturer in the School of Computer Science and Mathematics, at Liverpool John Moores University, specialising in digital forensics and cyber security. With over 14 years of research experience, Dr MacDermott has conducted impactful research-informed teaching involving forensic evidence handling and methodologies, device and IoT forensics, network and technology security, and more recently, the forensic analysis of fabricated media such as deepfakes. Dr MacDermott holds a PhD in Network Security and BSc (Hons) in Computer Forensics and is passionate about educating the next generation of forensics professionals on the challenges and opportunities presented by emerging technologies like deepfakes and AI. With over 50 publications to date, Dr MacDermott continues to contribute significantly to the fields of cyber security and digital forensics.",BCS Member Groups,UCVkozrz9LHYPgwIsbw_-3gQ,@BCSMemberGroups,2026-01-30 00:00:00+00:00,https://i.ytimg.com/vi/V_78ciCxgAQ/maxresdefault.jpg,140,2,3.7782340862423,37.05,
j8R1b8HZhwQ,"The Future of Cyber Attacks in AI Era | Beds, Bucks and Northants branch","The Future of Cyber Attacks: How AI Moves From Assisting to Fully Orchestrating Cyber Threats” is an advanced seminar designed to help delegates understand the rapidly changing cyber-threat landscape as artificial intelligence evolves from a passive enabler of attacks to an active, autonomous orchestrator.

Moving beyond conceptual discussion, the session examines how modern offensive AI systems analyse targets, adapt strategies in real time, and execute coordinated multi-stage attacks with minimal human involvement.

Across the seminar, participants will be guided through the mechanics of AI-driven threat generation, with a particular emphasis on adversarial agents, autonomous exploitation workflows, and the convergence of large-scale automation with intent-driven cyber operations.

A series of hands-on demonstrations will highlight how agentic AI models interact with MCP-based offensive servers, showcasing practical examples of reconnaissance, vulnerability chaining, and dynamic decision-making by AI systems. These demonstrations are designed to give attendees a tangible sense of how quickly attack capabilities are evolving and why traditional defence models are struggling to keep pace.

The seminar will also address the strategic implications for cybersecurity teams and policymakers. Delegates will explore how defensive practice must adapt, including new detection strategies for AI-generated traffic, the importance of proactive threat-hunting in the era of machine-speed intrusions, and the role of governance frameworks capable of managing autonomous digital adversaries.",BCS Member Groups,UCVkozrz9LHYPgwIsbw_-3gQ,@BCSMemberGroups,2026-02-10 00:00:00+00:00,https://i.ytimg.com/vi/j8R1b8HZhwQ/maxresdefault.jpg,109,2,3.4168377823408624,31.9,
9Li9E88sxEI,From BA to Boardroom: How a Career in Tech Can Take You to the Top | BCS London Branches,"Speaker:
Bev White - Executive Chair of Nash Squared

Synopsis:
Numerous challenges face today’s digital leaders across the Technology sector. Challenges include AI, cybersecurity, how to improve D&I practices, and how to increase the number of women in technology. Come to hear the views of the Executive Chair of a $1 Billion group on these topics and more.",BCS Member Groups,UCVkozrz9LHYPgwIsbw_-3gQ,@BCSMemberGroups,2026-04-24 00:00:00+00:00,https://i.ytimg.com/vi/9Li9E88sxEI/maxresdefault.jpg,100,3,1.0184804928131417,98.19,0.0
KUIZ2AkVJUA,Critical Thinking for Testers in the age of AI | Software Testing SG,"Future generations are growing up with AI embedded in their lives, and they will come to rely on it more and more to help them with day to day tasks. But there is an inherent risk that this reliance will see humans in the future starting to lose the ability to think for themselves. The biases that shape AI could be defined by those who do retain the ability to think critically, plan strategically and adapt quickly, leaving others disadvantaged. But rather than be fearful of AI, we can thrive with it, whilst we strengthen our own cognitive abilities. Attendees will: Learn from studies the impact that a reliance on AI is having on our cognitive abilities. Find a balance between utilising the benefits of AI and maintaining critical thinking skills. Understand why the art of critical thinking is important for the future. Learn how they can sharpen their critical thinking skills as testers. Pick up tips as to how they can help others to practice critical thinking.",BCS Member Groups,UCVkozrz9LHYPgwIsbw_-3gQ,@BCSMemberGroups,2026-01-26 00:00:00+00:00,https://i.ytimg.com/vi/KUIZ2AkVJUA/maxresdefault.jpg,91,0,3.909650924024641,23.28,
7cBJXpV8LL4,"Convergent Tech - AI is an Ingredient, Not a Meal | BCS London Branches","Speaker:
Jeremy Dalton - Founder, XRHQ.com

Synopsis:
We are witnessing the largest concentration of investment in a single technology in modern history. The assumption underpinning this bet is that AI is categorically different. This talk challenges that assumption. Transformative innovation has always emerged from convergence: the collision of ideas, techniques, and technologies from unrelated domains. The printing press combined winemaking, metallurgy, and chemistry. The telescope emerged when glassmaking met spectacle craftsmanship. Surgical stitching borrowed from seamstresses and leatherworkers. This talk makes the case for convergent thinking: not against AI, but against the mindset that mistakes one ingredient for an entire meal.",BCS Member Groups,UCVkozrz9LHYPgwIsbw_-3gQ,@BCSMemberGroups,2026-02-24 00:00:00+00:00,https://i.ytimg.com/vi/7cBJXpV8LL4/maxresdefault.jpg,82,0,2.9568788501026693,27.73,
jza1pDS8VCY,"AI Governance in Practice: Privacy, Vulnerability and Social Impact","AI regulation, privacy and inclusion: guidance to manage risks, protect vulnerable groups and embed accountable, people-centred AI
Panellists
 - Maria Flores
 - Amit Gadhia
 - Freddie Quek

Brought to you by: BCS Consultancy Specialist Group supported by BCS Digital Divide Specialist Group and BCS Business Change Specialist Group",BCS Member Groups,UCVkozrz9LHYPgwIsbw_-3gQ,@BCSMemberGroups,2026-01-21 00:00:00+00:00,https://i.ytimg.com/vi/jza1pDS8VCY/maxresdefault.jpg,81,0,4.073921971252567,19.88,
yVG_Q_FKlfs,"Hybrid: Build Together - Public Hackathon Showcase by WDAI, UKAI & RepAI | PRIDE SG","Synopsis
BCS Pride & RepresentAI are proud to host and partner with Women Defining AI and UKAI for the Build Together Public Hackathon Showcase, kindly Sponsored by Mony Group.
This brings together innovators, technologists, policymakers, and community leaders to witness the unveiling of four early-stage AI prototypes developed during the WDAIxUKAI Build Together hackathon. These solutions align with the National AI Tender and the UK AI Opportunities Plan, demonstrating practical applications of AI for social good.
Featured Prototypes
• Talk & Book – Voice-powered GP appointment booking that removes digital barriers for patients who struggle with online forms
• Move.ai – An intelligent assistant that simplifies the overwhelming admin of moving home, from address changes to service transfers
• SLT Companion – Improving access pathways to speech and language therapy for children and families
• Money Mind – An AI learning companion helping young people develop financial literacy and future-ready decision-making skills
Why This Matters
Around 50% of the hackathon participants are AI beginners, proving that building meaningful AI solutions doesn't require years of technical training—it requires perspective, lived experience, and a commitment to solving real problems. This showcase demonstrates what's possible when we intentionally create space for diverse voices in AI development.
Who Should Attend
• AI practitioners and technologists
• Public sector innovators and policymakers
• Healthcare and education professionals
• Social impact investors and funders
• Community organizations and advocacy groups
• Anyone interested in responsible, inclusive AI development
Event Highlights
• Live prototype demonstrations
• Meet the teams behind each solution
• Panel discussion on inclusive AI development
• Networking with innovators, supporters, and collaborators
• Refreshments provided 
Hosted by Women Defining AI UK (WDAI), UK AI (UKAI) and partners BCS, The Chartered Institute for IT & RepresentAI.",BCS Member Groups,UCVkozrz9LHYPgwIsbw_-3gQ,@BCSMemberGroups,2026-02-10 00:00:00+00:00,https://i.ytimg.com/vi/yVG_Q_FKlfs/maxresdefault.jpg,70,0,3.4168377823408624,20.49,
ibp3ZcDpxqU,Appreciating Global Regulatory Requirements for Enterprise Blueprints | Enterprise Architecture SG,"Organisations operating across multiple jurisdictions need to be aware of any impact from global and regional regulatory requirements.
Failure to observe or comply with these requirements can result in fines, as can be seen in the UK where the FCA has imposed major fines exceeding £100M in most cases on the larger banks.
Controls can and should be designed where possible and built across Enterprise Systems and associated guardrails, so it is important for the Architecture Community and those who design enterprise capabilities and systems to be conversant with regulatory requirements discussed during the presentation.
What we aim to cover:
1. We will revisit the enterprise architecture stack and the importance of understanding the organisational Business Operating Model.
2. Regulatory Compliance – The Who, Why and the When
3. Address specific domains
• System Specific Regulations
    ◦ Cloud hosting Policies
    ◦ Data Privacy / Residency
    ◦ Introduction of AI Acts / Policies
• Business Specific
    ◦ Bribery
    ◦ Consumer Protection
    ◦ Anti-Money Laundering
    ◦ Fraud
    ◦ Sanctions
    ◦ Terrorism

At the end of the presentation, you will have an appreciation of some of the global regulatory requirements which should be considered when designing enterprise systems.",BCS Member Groups,UCVkozrz9LHYPgwIsbw_-3gQ,@BCSMemberGroups,2026-02-25 00:00:00+00:00,https://i.ytimg.com/vi/ibp3ZcDpxqU/maxresdefault.jpg,68,3,2.924024640657084,23.26,
NaJJqo5dqew,Using AI to Streamline Work | BCS London Branches,"Speaker:
Shyam Ruda - Computer Science (AI) Graduate from Brunel University

Synopsis:
Shyam Ruda presents a practical case study using a machine learning model to demonstrate how AI supports data-driven decision-making across industries.",BCS Member Groups,UCVkozrz9LHYPgwIsbw_-3gQ,@BCSMemberGroups,2026-04-09 00:00:00+00:00,https://i.ytimg.com/vi/NaJJqo5dqew/maxresdefault.jpg,68,1,1.51129363449692,44.99,0.0
